'id_event','match_event','time','player','team','type_e'
887,342,23,165,8,'goal'
888,342,89,144,1,'goal'
889,343,19,248,16,'goal'
890,343,32,291,5,'penalty'
891,343,93,397,16,'goal'
892,344,23,198,10,'goal'
893,344,35,270,17,'goal'
894,344,61,64,10,'goal'
895,345,25,180,3,'penalty'
896,345,69,383,4,'goal'
897,346,12,72,18,'goal'
898,346,18,178,18,'goal'
899,346,21,224,11,'goal'
900,346,47,296,11,'goal'
901,346,59,70,18,'goal'
903,347,83,6,12,'goal'
904,347,84,136,19,'goal'
905,348,49,17,2,'goal'
906,348,73,427,13,'miss'
907,348,74,427,13,'goal'
908,349,26,439,14,'goal'
909,349,47,95,14,'goal'
910,351,46,49,17,'goal'
911,351,89,0,13,'goal'
912,352,5,442,6,'goal'
913,353,13,70,18,'goal'
914,353,36,149,18,'goal'
915,354,18,355,3,'goal'
916,354,88,222,3,'goal'
917,355,26,326,5,'goal'
918,355,45,247,5,'own'
919,355,56,225,11,'goal'
920,355,65,296,11,'goal'
921,355,95,174,11,'penalty'
922,356,6,172,1,'goal'
923,356,33,37,7,'goal'
924,356,42,434,7,'goal'
925,356,52,211,7,'own'
926,356,69,90,7,'goal'
927,356,75,90,7,'goal'
928,356,85,435,7,'goal'
929,357,18,372,19,'goal'
930,357,77,159,19,'goal'
931,357,83,54,19,'goal'
932,357,87,54,19,'miss'
933,358,68,45,8,'goal'
934,358,90,69,4,'goal'
